Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Anthony Adams,25,SFO,NT,16,16,0,0,0,0,1.0,0,0,0,0,0,2.5,40.0,24.0,16.0,3.0,0,
Keith Adams,26,PHI,RLB,16,16,0,0,0,0,1.0,0,0,0,0,0,0.0,69.0,59.0,10.0,3.0,0,
Brent Alexander,34,NYG,FS,16,16,4,45,0,24,12.0,0,0,1,9,0,0.0,61.0,46.0,15.0,1.0,0,
Shaun Alexander,28,SEA,RB,16,16,0,0,0,0,0.0,0,5,0,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
Larry Allen,34,DAL,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
Will Allen,27,NYG,LCB,16,16,0,17,0,17,11.0,1,0,1,0,0,0.0,73.0,65.0,8.0,1.0,0,
Nnamdi Asomugha,24,OAK,LCB,16,16,0,0,0,0,14.0,0,0,0,0,0,0.0,60.0,55.0,5.0,2.0,0,
Ronde Barber,30,TAM,RCB,16,16,5,105,0,42,20.0,0,0,1,4,0,2.0,99.0,83.0,16.0,2.0,0,"PB,AP-1"
Tiki Barber,30,NYG,RB,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP MVP-4,AP OPoY-3"
Nick Barnett,24,GNB,MLB,16,16,1,95,1,95,2.0,1,0,3,17,0,1.0,139.0,92.0,47.0,9.0,0,
Drew Bledsoe,33,DAL,QB,16,16,0,0,0,0,0.0,0,17,3,-12,0,0.0,0.0,0.0,0.0,0.0,0,
Colby Bockwoldt,24,NOR,RLB,16,16,0,0,0,0,3.0,0,0,1,0,0,0.0,89.0,60.0,29.0,6.0,0,
Michael Boulware,24,SEA,SS,16,16,4,107,0,40,9.0,1,0,0,0,0,2.0,73.0,58.0,15.0,3.0,0,
Gary Brackett,25,IND,MLB,16,16,3,50,0,31,6.0,0,0,0,0,0,1.0,127.0,92.0,35.0,0.0,0,
