Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
R.C. Thielemann,25,ATL,RG,16,16,0,0,0,0,0,2,0,0,0.0,,0,
Bill Thompson,34,DEN,SS,16,16,2,49,0,36,0,2,32,1,0.0,,0,
Dennis Thurman,24,DAL,FS,16,16,5,114,1,78,0,2,14,0,0.0,,0,
Richard Todd,27,NYJ,QB,16,16,0,0,0,0,10,3,-3,0,0.0,,0,
Manu Tuiasosopo,23,SEA,RDT,16,16,0,0,0,0,0,1,0,0,3.5,,0,
John Turner,24,MIN,LCB,16,16,6,22,0,13,0,1,0,0,1.0,,0,
Gene Upshaw,35,OAK,LG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Mark van Eeghen,28,OAK,FB,16,16,0,0,0,0,3,0,0,0,0.0,,0,
Mike Washington,27,TAM,RCB,16,16,4,30,0,16,0,0,0,0,0.0,,0,
Charlie Waters,32,DAL,SS,16,16,5,78,0,29,0,1,0,0,0.5,,0,
Charlie Weaver,31,DET,LLB,16,16,1,-3,0,-3,0,2,0,0,1.0,,0,
Roger Wehrli,33,STL,RCB,16,16,1,25,0,25,0,0,0,0,1.0,,0,
Dwight Wheeler,25,NWE,LT,16,16,0,0,0,0,1,0,-41,0,0.0,,0,
Danny White,28,DAL,QB,16,16,0,0,0,0,8,1,-15,0,0.0,,0,
Ed White,33,SDG,RG,16,16,0,0,0,0,0,1,0,0,0.0,,0,
James White,27,MIN,RDT,16,16,0,0,0,0,0,0,0,0,4.0,,0,
Randy White,27,DAL,RDT,16,16,0,0,0,0,0,0,0,0,6.0,,0,"PB,AP-2,AP DPoY-3"
Sammy White,26,MIN,WR,16,16,0,0,0,0,0,1,0,0,0.0,,0,
Stan White,31,DET,RLB,16,16,2,22,0,15,0,1,0,0,1.0,,0,
Wilson Whitley,25,CIN,NT,16,16,0,0,0,0,0,0,0,0,2.0,,0,
Ben Williams,26,BUF,LDE,16,16,0,0,0,0,0,1,0,0,12.0,,0,
Doug Williams,25,TAM,QB,16,16,0,0,0,0,7,2,0,0,0.0,,0,
Joel Williams,24,ATL,ROLB,16,16,2,55,0,32,0,3,42,1,16.0,,1,
Brenard Wilson,25,PHI,FS,16,16,6,79,0,41,0,0,0,0,0.0,,0,
J.C. Wilson,24,HOU,LCB,16,16,2,26,0,26,0,1,0,0,0.0,,0,
Tim Wilson,26,HOU,FB,16,16,0,0,0,0,2,0,0,0,0.0,,0,
Richard Wood,27,TAM,RILB,16,16,3,76,1,55,0,0,0,0,0.0,,0,
Rickey Young,27,MIN,RB,16,16,0,0,0,0,2,0,0,0,0.0,,0,
Roynell Young,23,PHI,LCB,16,16,4,27,0,26,0,0,0,0,0.0,,0,AP DRoY-3
Jack Youngblood,30,RAM,LDE,16,16,0,0,0,0,0,0,0,0,11.5,,0,
Jim Zorn,27,SEA,QB,16,16,0,0,0,0,12,4,-13,0,0.0,,0,
Mark Arneson,31,STL,ROLB,16,15,0,0,0,0,0,1,0,0,5.0,,0,
Glenn Blackwood,23,MIA,SS,16,15,3,0,0,0,0,4,0,0,0.0,,0,
Russ Bolinger,26,DET,RG,16,15,0,0,0,0,0,1,0,0,0.0,,0,
Ricky Churchman,22,SFO,SS,16,15,4,7,0,7,1,0,0,0,0.0,,0,
Mario Clark,26,BUF,LCB,16,15,1,0,0,0,0,3,0,0,1.0,,0,
A.J. Duhe,25,MIA,RILB,16,15,0,0,0,0,0,0,0,0,5.5,,0,
Glen Edwards,33,SDG,FS,16,15,5,122,1,68,0,0,0,0,0.0,,0,
Vince Ferragamo,26,RAM,QB,16,15,0,0,0,0,4,2,0,0,0.0,,0,
Jimmie Giles,26,TAM,TE,16,15,0,0,0,0,2,1,0,0,0.0,,0,PB
Marshall Harris,25,CLE,LDE,16,15,0,0,0,0,0,1,0,0,2.0,,0,
Bobby Leopold,23,SFO,RLB/ROLB,16,15,2,23,0,13,0,3,11,0,2.5,,0,
Dave Lewis,26,TAM,LOLB,16,15,1,0,0,0,0,1,0,0,0.0,,0,PB
Brison Manor,28,DEN,RDE,16,15,0,0,0,0,0,1,5,0,2.0,,0,
Reese McCall,24,BAL,TE,16,15,0,0,0,0,1,1,0,0,0.0,,0,
Derland Moore,29,NOR,RDT,16,15,0,0,0,0,0,1,0,0,8.5,,0,
Mark Mullaney,27,MIN,LDE,16,15,0,0,0,0,0,1,0,0,5.0,,0,
Tom Myers,30,NOR,FS,16,15,5,96,0,48,0,1,0,0,0.0,,0,
Don Parrish,25,KAN,NT,16,15,0,0,0,0,0,0,0,0,3.5,,0,
Joe Theismann,31,WAS,QB,16,15,0,0,0,0,6,0,-2,0,0.0,,0,
Ted Washington,32,HOU,LOLB,16,15,0,0,0,0,0,1,0,0,4.0,,0,
Mike Barnes,30,BAL,LDT,16,14,0,0,0,0,0,0,0,0,8.0,,0,
Ken Bordelon,26,NOR,LLB,16,14,0,0,0,0,0,2,11,0,1.0,,0,
Larry Brooks,30,RAM,LDT,16,14,0,0,0,0,0,0,0,0,8.5,,0,PB
Dave Dalby,30,OAK,C,16,14,0,0,0,0,1,0,-1,0,0.0,,0,
Brad Dusek,30,WAS,LLB,16,14,0,0,0,0,0,1,0,0,0.0,,0,
Clarence Harmon,25,WAS,FB,16,14,0,0,0,0,4,0,0,0,0.0,,0,
Wilbur Jackson,29,WAS,RB,16,14,0,0,0,0,10,2,0,0,0.0,,0,
Charles Johnson,24,SFO,RCB,16,14,1,15,0,15,1,1,0,0,0.0,,0,
Gordon Jones,23,TAM,WR,16,14,0,0,0,0,1,0,0,0,0.0,,0,
Dave Lindstrom,26,KAN,RDE,16,14,0,0,0,0,0,1,0,0,4.0,,0,
David Logan,24,TAM,NT,16,14,0,0,0,0,0,1,60,1,4.0,,0,
Junior Miller,23,ATL,TE,16,14,0,0,0,0,2,0,0,0,0.0,,0,"PB,AP-2"
Beasley Reece,26,NYG,SS,16,14,3,24,0,10,1,2,14,0,1.0,,0,
Gary Shirk,30,NYG,TE,16,14,0,0,0,0,2,0,0,0,0.0,,0,
Scott Studwell,26,MIN,MLB,16,14,1,4,0,4,0,1,0,0,0.0,,0,
Doug Sutherland,32,MIN,LDT,16,14,0,0,0,0,0,1,0,0,5.0,,0,
Rick Upchurch,28,DEN,WR,16,14,0,0,0,0,2,1,0,0,0.0,,0,
Don Bessillieu,24,MIA,FS,16,13,4,13,0,12,4,2,44,1,2.0,,0,
Scott Dierking,25,NYJ,RB,16,13,0,0,0,0,3,2,0,0,0.0,,0,
Jim Jodat,26,SEA,FB,16,13,0,0,0,0,3,1,0,0,0.0,,0,
Lam Jones,22,NYJ,WR,16,13,0,0,0,0,1,1,0,0,0.0,,0,
Frank Manumaleuga,24,KAN,LILB,16,13,3,44,1,22,0,0,0,0,0.0,,0,
Freddie Solomon,27,SFO,WR,16,13,0,0,0,0,5,5,0,0,0.0,,0,
Bob Tucker,35,MIN,TE,16,13,0,0,0,0,1,0,0,0,0.0,,0,
Jeff Yeates,29,ATL,LDE,16,13,1,5,0,5,0,1,4,0,2.0,,0,
John Zamberlin,24,NWE,RILB,16,13,0,0,0,0,0,0,0,0,2.5,,0,
