Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Eddie Royal,23.0,DEN,14.0,12.0,79.0,37.0,345.0,9.3,0.0,23.0,39.2,20.0,2.6,24.6,46.8,4.4,1.0,
Bobby Wade,28.0,KAN,12.0,6.0,74.0,36.0,367.0,10.2,2.0,17.0,39.2,25.0,3.0,30.6,48.6,5.0,3.0,
Bryant Johnson,28.0,DET,16.0,16.0,87.0,35.0,417.0,11.9,3.0,23.0,34.5,36.0,2.2,26.1,40.2,4.8,0.0,
Julius Jones,28.0,SEA,14.0,14.0,43.0,35.0,232.0,6.6,2.0,10.0,32.6,49.0,2.5,16.6,81.4,5.4,0.0,
Dennis Northcutt,32.0,DET,16.0,2.0,63.0,35.0,357.0,10.2,1.0,18.0,41.3,47.0,2.2,22.3,55.6,5.7,2.0,
David Thomas,26.0,NOR,15.0,8.0,48.0,35.0,356.0,10.2,1.0,18.0,54.2,37.0,2.3,23.7,72.9,7.4,0.0,
Ricky Williams,32.0,MIA,16.0,7.0,53.0,35.0,264.0,7.5,2.0,9.0,41.5,59.0,2.2,16.5,66.0,5.0,5.0,
Mark Clayton,27.0,BAL,14.0,12.0,74.0,34.0,480.0,14.1,2.0,24.0,37.8,54.0,2.4,34.3,45.9,6.5,1.0,
Brandon Gibson,22.0,STL,9.0,4.0,69.0,34.0,348.0,10.2,1.0,23.0,44.9,23.0,3.8,38.7,49.3,5.0,2.0,
Jerome Harrison,26.0,CLE,14.0,7.0,50.0,34.0,220.0,6.5,2.0,12.0,36.0,18.0,2.4,15.7,68.0,4.4,2.0,
Mohamed Massaquoi,23.0,CLE,16.0,11.0,95.0,34.0,624.0,18.4,3.0,24.0,32.6,59.0,2.1,39.0,35.8,6.6,1.0,
Randy McMichael,30.0,STL,16.0,16.0,62.0,34.0,332.0,9.8,1.0,13.0,43.5,35.0,2.1,20.8,54.8,5.4,0.0,
Louis Murphy,22.0,OAK,16.0,9.0,96.0,34.0,521.0,15.3,4.0,26.0,28.1,75.0,2.1,32.6,35.4,5.4,0.0,
Kelley Washington,30.0,BAL,15.0,2.0,48.0,34.0,431.0,12.7,2.0,27.0,62.5,28.0,2.3,28.7,70.8,9.0,0.0,
James Jones,25.0,GNB,16.0,3.0,62.0,32.0,440.0,13.8,5.0,16.0,38.7,74.0,2.0,27.5,51.6,7.1,0.0,
Marcedes Lewis,25.0,JAX,15.0,15.0,59.0,32.0,518.0,16.2,2.0,20.0,42.4,47.0,2.1,34.5,54.2,8.8,1.0,
Correll Buckhalter,31.0,DEN,14.0,7.0,38.0,31.0,240.0,7.7,0.0,6.0,44.7,30.0,2.2,17.1,81.6,6.3,3.0,
Anthony Fasano,25.0,MIA,14.0,14.0,53.0,31.0,339.0,10.9,2.0,21.0,43.4,27.0,2.2,24.2,58.5,6.4,2.0,
Brian Hartline,23.0,MIA,16.0,2.0,56.0,31.0,506.0,16.3,3.0,26.0,50.0,67.0,1.9,31.6,55.4,9.0,0.0,
Tony Scheffler,26.0,DEN,15.0,9.0,50.0,31.0,416.0,13.4,2.0,17.0,54.0,52.0,2.1,27.7,62.0,8.3,0.0,
Sammie Stroughter,23.0,TAM,13.0,0.0,60.0,31.0,334.0,10.8,1.0,19.0,41.7,35.0,2.4,25.7,51.7,5.6,0.0,
Brian Leonard,25.0,CIN,14.0,1.0,35.0,30.0,217.0,7.2,0.0,13.0,48.6,18.0,2.1,15.5,85.7,6.2,1.0,
Brandon Pettigrew,24.0,DET,11.0,11.0,54.0,30.0,346.0,11.5,2.0,20.0,48.1,30.0,2.7,31.5,55.6,6.4,1.0,
Jason Snelling,26.0,ATL,14.0,2.0,39.0,30.0,259.0,8.6,1.0,13.0,43.6,38.0,2.1,18.5,76.9,6.6,2.0,
Chansi Stuckey,26.0,2TM,15.0,3.0,66.0,30.0,318.0,10.6,2.0,21.0,37.9,40.0,2.0,21.2,45.5,4.8,0.0,
Chris Cooley,27.0,WAS,7.0,7.0,45.0,29.0,332.0,11.4,2.0,17.0,51.1,25.0,4.1,47.4,64.4,7.4,1.0,
Will Heller,28.0,DET,16.0,9.0,50.0,29.0,296.0,10.2,3.0,16.0,42.0,24.0,1.8,18.5,58.0,5.9,0.0,
Chaz Schilens,24.0,OAK,8.0,8.0,52.0,29.0,365.0,12.6,2.0,17.0,44.2,25.0,3.6,45.6,55.8,7.0,0.0,
Ben Watson,29.0,NWE,16.0,7.0,41.0,29.0,404.0,13.9,5.0,20.0,65.9,36.0,1.8,25.3,70.7,9.9,0.0,
DeAngelo Williams,26.0,CAR,13.0,13.0,41.0,29.0,252.0,8.7,0.0,14.0,58.5,30.0,2.2,19.4,70.7,6.1,3.0,PB
Justin Gage,28.0,TEN,12.0,10.0,67.0,28.0,383.0,13.7,3.0,22.0,38.8,49.0,2.3,31.9,41.8,5.7,0.0,
Daniel Graham,31.0,DEN,16.0,14.0,43.0,28.0,289.0,10.3,1.0,14.0,46.5,24.0,1.8,18.1,65.1,6.7,0.0,
