Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Sfty,Awards
Ron Springs,26,DAL,FB,9,9,0,0,0,0,,3,1,0,0,0.0,,0,
Dave Stalls,27,TAM,LDE,9,9,0,0,0,0,,0,0,0,0,6.5,,0,
John Stallworth,30,PIT,WR,9,9,0,0,0,0,,2,0,0,0,0.0,,0,PB
Mike Stensrud,26,HOU,NT,9,9,0,0,0,0,,0,1,0,0,1.5,,0,
Art Still,27,KAN,LDE,9,9,0,0,0,0,,0,1,4,0,4.0,,0,PB
Dennis Swilley,27,MIN,C,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Willie Teal,25,MIN,RCB,9,9,4,15,0,13,,0,0,0,0,0.0,,0,
Joe Theismann,33,WAS,QB,9,9,0,0,0,0,,4,1,-21,0,0.0,,0,"PB,AP MVP-4"
Norris Thomas,28,TAM,LCB,9,9,1,0,0,0,,0,0,0,0,0.0,,0,
Pat Thomas,28,RAM,LCB,9,9,3,0,0,0,,0,0,0,0,0.0,,0,
Donnell Thompson,24,BAL,LDE,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
Cliff Thrift,26,SDG,MLB,9,9,2,16,0,9,,0,2,0,0,0.0,,0,
Dennis Thurman,26,DAL,RCB,9,9,3,75,1,60,,0,1,0,0,0.0,,0,
Mike Tice,23,SEA,TE,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Richard Todd,29,NYJ,QB,9,9,0,0,0,0,,4,0,-6,0,0.0,,0,
Loren Toews,31,PIT,LILB,9,9,1,20,0,20,,0,1,0,0,2.5,,0,
John Turner,26,MIN,FS,9,9,2,43,1,33,,0,1,35,0,0.0,,0,
Keena Turner,24,SFO,ROLB,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
Wendell Tyler,27,RAM,RB,9,9,0,0,0,0,,10,1,0,0,0.0,,0,
Keith Van Horne,25,CHI,RT,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Brad Van Pelt,31,NYG,LOLB,9,9,0,0,0,0,,0,2,0,0,2.0,,0,
Stan Waldemore,27,NYJ,LG,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Everson Walls,23,DAL,LCB,9,9,7,61,0,37,,1,0,0,0,0.0,,0,"PB,AP-2,AP DPoY-5"
Steve Watson,25,DEN,WR,9,9,0,0,0,0,,1,0,0,0,0.0,,0,
Frank Wattelet,24,NOR,FS,9,9,0,0,0,0,,0,1,0,0,0.0,,0,
Ted Watts,24,RAI,RCB,9,9,1,0,0,0,,0,0,0,0,1.0,,0,
Dave Waymer,24,NOR,LCB,9,9,0,0,0,0,,0,2,0,0,0.0,,0,
Clayton Weishuhn,23,NWE,RILB,9,9,0,0,0,0,,0,1,0,0,2.0,,0,
Charles White,24,CLE,RB,9,9,0,0,0,0,,2,0,0,0,0.0,,0,
Danny White,30,DAL,QB,9,9,0,0,0,0,,10,2,0,0,0.0,,0,"PB,AP-2,AP MVP-5,AP OPoY-4"
Jeris White,30,WAS,LCB,9,9,3,4,0,4,,0,0,0,0,0.0,,0,
Randy White,29,DAL,RDT,9,9,0,0,0,0,,0,1,0,0,2.5,,0,"PB,AP-1,AP DPoY-2"
Sherman White,34,BUF,RDE,9,9,0,0,0,0,,0,1,0,0,4.0,,0,
Stan White,33,DET,RLB,9,9,3,21,0,18,,0,1,0,0,0.0,,0,
Wilson Whitley,27,CIN,NT,9,9,0,0,0,0,,0,0,0,0,1.0,,0,
James Wilder,24,TAM,FB,9,9,0,0,0,0,,5,1,3,0,0.0,,0,
