Player,Age,Team,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards
Jim Smith,26,PIT,15,3,1,15,0,15,15.0,1.0,0.1,1,
Ron Smith,25,2TM,12,1,1,7,0,7,7.0,0.6,0.1,0,
Ron Smith,25,SDG,9,1,0,0,0,,,0.0,0.0,0,
Ron Smith,25,PHI,3,0,1,7,0,7,7.0,2.3,0.3,0,
John Stallworth,29,PIT,16,16,1,17,0,17,17.0,1.1,0.1,4,
Dave Stief,25,STL,12,0,1,8,0,8,8.0,0.7,0.1,0,
Larry Swider,26,TAM,13,0,1,-9,0,-9,-9.0,-0.7,0.1,0,
Aundra Thompson,28,2TM,13,2,1,2,0,2,2.0,0.2,0.1,0,
Aundra Thompson,28,GNB,3,2,1,2,0,2,2.0,0.7,0.3,0,
Aundra Thompson,28,NOR,10,0,0,0,0,,,0.0,0.0,0,
Eric Torkelson,29,GNB,9,0,1,4,0,4,4.0,0.4,0.1,0,
Rick Walker,26,WAS,16,14,1,5,0,5,5.0,0.3,0.1,0,
James Wright,25,DEN,16,0,1,11,0,11,11.0,0.7,0.1,0,
Willis Adams,25,CLE,7,0,0,0,0,,,0.0,0.0,0,
Marcus Anderson,22,CHI,12,1,0,0,0,,,0.0,0.0,1,
Walt Arnold,23,RAM,16,9,0,0,0,,,0.0,0.0,0,
Steve August,27,SEA,16,16,0,0,0,,,0.0,0.0,0,
Gordon Banks,23,NOR,6,1,0,0,0,,,0.0,0.0,2,
Mike Barber,28,HOU,16,5,0,0,0,,,0.0,0.0,0,
Jerome Barkum,31,NYJ,16,16,0,0,0,,,0.0,0.0,0,
Buster Barnett,23,BUF,16,0,0,0,0,,,0.0,0.0,0,
Malcolm Barnwell,23,OAK,16,1,0,0,0,,,0.0,0.0,2,
Jeff Bostic,23,WAS,16,16,0,0,0,,,0.0,0.0,0,
Dennis Boyd,26,SEA,16,0,0,0,0,,,0.0,0.0,0,
Morris Bradshaw,29,OAK,15,8,0,0,0,,,0.0,0.0,0,
Cliff Branch,33,OAK,16,15,0,0,0,,,0.0,0.0,0,
Hoby Brenner,22,NOR,9,1,0,0,0,,,0.0,0.0,1,
Billy Brooks,28,2TM,10,0,0,0,0,,,0.0,0.0,0,
Billy Brooks,28,SDG,7,0,0,0,0,,,0.0,0.0,0,
Billy Brooks,28,HOU,3,0,0,0,0,,,0.0,0.0,0,
Bob Bruer,28,MIN,15,0,0,0,0,,,0.0,0.0,1,
Randy Burke,26,BAL,16,1,0,0,0,,,0.0,0.0,0,
Ken Burrough,33,HOU,16,16,0,0,0,,,0.0,0.0,1,
Ray Butler,25,BAL,16,16,0,0,0,,,0.0,0.0,0,
Ken Callicutt,26,DET,16,0,0,0,0,,,0.0,0.0,0,
Roger Carr,29,BAL,15,15,0,0,0,,,0.0,0.0,0,
Gerald Carter,24,TAM,16,0,0,0,0,,,0.0,0.0,0,
Dave Casper,29,HOU,16,11,0,0,0,,,0.0,0.0,0,
Ron Cassidy,24,GNB,10,0,0,0,0,,,0.0,0.0,1,
Jimmy Cefalo,25,MIA,16,6,0,0,0,,,0.0,0.0,0,
Bob Chandler,32,OAK,11,7,0,0,0,,,0.0,0.0,2,
Raymond Chester,33,OAK,16,5,0,0,0,,,0.0,0.0,0,
Todd Christensen,25,OAK,16,0,0,0,0,,,0.0,0.0,0,
Garry Cobb,24,DET,16,16,0,0,0,,,0.0,0.0,0,
Mike Cobb,26,CHI,16,1,0,0,0,,,0.0,0.0,0,
Paul Coffman,25,GNB,16,16,0,0,0,,,0.0,0.0,1,
Cris Collinsworth,22,CIN,16,16,0,0,0,,,0.0,0.0,3,"PB,AP-2,AP ORoY-2"
Chris Combs,23,STL,16,2,0,0,0,,,0.0,0.0,0,
Bennie Cunningham,27,PIT,15,15,0,0,0,,,0.0,0.0,0,
Isaac Curtis,31,CIN,15,14,0,0,0,,,0.0,0.0,1,
Lin Dawson,22,NWE,15,3,0,0,0,,,0.0,0.0,0,
Brian DeRoo,25,BAL,16,0,0,0,0,,,0.0,0.0,0,
Doug Donley,22,DAL,11,0,0,0,0,,,0.0,0.0,0,
Robin Earl,26,CHI,16,15,0,0,0,,,0.0,0.0,0,
Ron Egloff,26,DEN,16,6,0,0,0,,,0.0,0.0,2,
John Floyd,25,STL,4,1,0,0,0,,,0.0,0.0,0,
Mike Friede,24,NYG,16,15,0,0,0,,,0.0,0.0,0,
Danny Fulton,25,CLE,5,0,0,0,0,,,0.0,0.0,0,
Derrick Gaffney,26,NYJ,16,13,0,0,0,,,0.0,0.0,0,
Jimmie Giles,27,TAM,16,16,0,0,0,,,0.0,0.0,0,PB
Earnest Gray,24,NYG,16,3,0,0,0,,,0.0,0.0,1,
Randy Grossman,29,PIT,16,1,0,0,0,,,0.0,0.0,0,
Bruce Hardy,25,MIA,16,4,0,0,0,,,0.0,0.0,1,
Larry Hardy,25,NOR,16,16,0,0,0,,,0.0,0.0,2,
Al Harris,24,CHI,16,11,0,0,0,,,0.0,0.0,0,
Duriel Harris,27,MIA,15,12,0,0,0,,,0.0,0.0,0,
Ike Harris,29,NOR,3,3,0,0,0,,,0.0,0.0,0,
M.L. Harris,27,CIN,15,0,0,0,0,,,0.0,0.0,1,
