Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Ja'Marr Chase,21,CIN,17,17,7,21,0,2,42.9,10,3.0,1.2,0.4,2,"PB,AP-2,AP ORoY-1"
Devin Duvernay,24,BAL,16,7,7,50,0,4,42.9,19,7.1,3.1,0.4,1,"PB,AP-1"
Demetric Felton,23,CLE,16,2,7,24,0,0,28.6,12,3.4,1.5,0.4,4,
Mike Glennon,32,NYG,6,4,7,33,1,2,57.1,13,4.7,5.5,1.2,6,
Jalen Guyton,24,LAC,16,2,7,34,0,2,28.6,21,4.9,2.1,0.4,1,
C.J. Ham,28,MIN,17,8,7,34,0,3,42.9,30,4.9,2.0,0.4,0,
Amon-Ra St. Brown,22,DET,17,9,7,61,1,2,42.9,26,8.7,3.6,0.4,0,
P.J. Walker,26,CAR,5,1,7,13,0,2,42.9,13,1.9,2.6,1.4,3,
Justin Jefferson,22,MIN,17,17,6,14,0,1,33.3,11,2.3,0.8,0.4,1,"PB,AP-2"
Jarvis Landry,29,CLE,12,12,6,40,2,4,83.3,16,6.7,3.3,0.5,3,
Darnell Mooney,24,CHI,17,14,6,32,1,2,33.3,15,5.3,1.9,0.4,0,
Scottie Phillips,24,HOU,3,0,6,13,0,1,33.3,4,2.2,4.3,2.0,0,
Anthony Schwartz,21,CLE,14,2,6,39,0,4,66.7,17,6.5,2.8,0.4,0,
Logan Woodside,26,TEN,5,0,6,-6,0,0,0.0,-1,-1.0,-1.2,1.2,0,
Brandon Aiyuk,23,SFO,17,16,5,17,0,0,40.0,8,3.4,1.0,0.3,2,
Cam Akers,22,LAR,1,0,5,3,0,0,0.0,2,0.6,3.0,5.0,0,
Alex Armah,27,NOR,9,2,5,21,0,4,80.0,9,4.2,2.3,0.6,0,
Jakeem Grant,29,2TM,15,0,5,33,0,2,60.0,13,6.6,2.2,0.3,3,"PB,AP-2"
Jakeem Grant,29,MIA,4,0,0,0,0,0,,,,0.0,0.0,2,
Jakeem Grant,29,CHI,11,0,5,33,0,2,60.0,13,6.6,3.0,0.5,1,
Deonte Harty,24,NOR,13,1,5,41,0,1,60.0,22,8.2,3.2,0.4,2,
Buddy Howell,25,LAR,10,0,5,11,0,0,0.0,4,2.2,1.1,0.5,0,
Diontae Johnson,25,PIT,16,14,5,53,0,2,80.0,25,10.6,3.3,0.3,2,PB
Elijah Moore,21,NYJ,11,6,5,54,1,3,100.0,19,10.8,4.9,0.5,0,
Michael Pittman Jr.,24,IND,17,17,5,44,0,1,40.0,25,8.8,2.6,0.3,1,
Mason Rudolph,26,PIT,2,1,5,53,0,3,60.0,26,10.6,26.5,2.5,1,
Jaylen Samuels,25,HOU,3,0,5,9,0,0,0.0,3,1.8,3.0,1.7,0,
Wendell Smallwood,27,WAS,3,0,5,25,0,2,60.0,13,5.0,8.3,1.7,0,
Freddie Swain,23,SEA,17,8,5,32,0,2,60.0,11,6.4,1.9,0.3,1,
Mike White,26,NYJ,4,3,5,-1,0,2,40.0,2,-0.2,-0.3,1.3,0,
Mekhi Sargent,24,3TM,7,0,5,11,0,1,20.0,3,2.2,1.6,0.7,0,
Mekhi Sargent,24,TEN,3,0,2,4,0,1,50.0,2,2.0,1.3,0.7,0,
Mekhi Sargent,24,LAR,3,0,2,5,0,0,0.0,3,2.5,1.7,0.7,0,
Mekhi Sargent,24,JAX,1,0,1,2,0,0,0.0,2,2.0,2.0,1.0,0,
Kenjon Barner,32,TAM,3,0,4,0,0,0,0.0,,0.0,0.0,1.3,0,
Blake Bell,30,KAN,16,5,4,10,0,4,100.0,3,2.5,0.6,0.3,0,
Mike Boone,26,DEN,8,0,4,35,0,2,50.0,16,8.8,4.4,0.5,0,
D'Wayne Eskridge,24,SEA,10,0,4,59,0,2,100.0,30,14.8,5.9,0.4,0,
Nick Foles,32,CHI,1,1,4,8,0,1,50.0,8,2.0,8.0,4.0,1,
Chris Godwin,25,TAM,14,14,4,21,1,4,100.0,9,5.3,1.5,0.3,2,
JaQuan Hardy,24,DAL,3,0,4,29,1,1,50.0,22,7.3,9.7,1.3,0,
Cooper Kupp,28,LAR,17,17,4,18,0,1,50.0,18,4.5,1.1,0.2,0,"PB,AP-1,AP MVP-3,AP OPoY-1"
Kalif Raymond,27,DET,16,14,4,28,0,2,75.0,13,7.0,1.8,0.3,0,
Curtis Samuel,25,WAS,5,1,4,11,0,0,50.0,8,2.8,2.2,0.8,0,
Dwayne Washington,27,NOR,14,0,4,16,0,0,50.0,5,4.0,1.1,0.3,0,
Albert Wilson,29,MIA,14,5,4,17,0,1,50.0,14,4.3,1.2,0.3,0,
Nelson Agholor,28,NWE,15,13,3,11,0,0,33.3,6,3.7,0.7,0.2,0,
Tavon Austin,31,JAX,13,3,3,21,0,1,100.0,8,7.0,1.6,0.2,1,
Khari Blasingame,25,TEN,11,3,3,6,0,1,33.3,3,2.0,0.5,0.3,1,
Ian Book,23,NOR,1,1,3,6,0,1,33.3,3,2.0,6.0,3.0,0,
Jason Cabinda,25,DET,14,4,3,23,0,2,66.7,21,7.7,1.6,0.2,0,
Robbie Chosen,28,CAR,17,16,3,36,0,1,66.7,30,12.0,2.1,0.2,0,
Damarea Crockett,24,DEN,12,0,3,7,0,0,33.3,6,2.3,0.6,0.3,0,
Ashton Dulin,24,IND,17,1,3,32,0,1,33.3,37,10.7,1.9,0.2,0,AP-2
Sam Ehlinger,23,IND,3,0,3,9,0,1,66.7,9,3.0,3.0,1.0,0,
Gerald Everett,27,SEA,15,12,3,20,0,2,66.7,13,6.7,1.3,0.2,2,
Feleipe Franks,24,ATL,9,0,3,6,0,0,0.0,4,2.0,0.7,0.3,0,
Reggie Gilliam,24,BUF,16,5,3,3,0,0,0.0,2,1.0,0.2,0.2,0,
George Kittle,28,SFO,14,14,3,20,0,0,100.0,9,6.7,1.4,0.2,2,PB
Allen Lazard,26,GNB,15,13,3,32,0,2,100.0,14,10.7,2.1,0.2,0,
Anthony McFarland Jr.,23,PIT,2,0,3,3,0,0,0.0,3,1.0,1.5,1.5,0,
Gabe Nabers,24,LAC,10,1,3,8,0,1,66.7,4,2.7,0.8,0.3,0,
Adam Prentice,24,NOR,7,3,3,5,0,2,66.7,2,1.7,0.7,0.4,0,
Hunter Renfrow,26,LVR,17,9,3,3,0,0,33.3,5,1.0,0.2,0.2,5,PB
