Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd
Christine Michael,2TM,26,RB,15,7,,,0,,,3.0,64.0,0,30.0,21.3,754
Matthew Slater*+,NWE,31,WR,13,0,,,0,,,3.0,52.0,0,19.0,17.3,57
Damien Williams,MIA,24,RB,15,0,,,0,,,3.0,32.0,0,17.0,10.7,396
Kendall Wright,TEN,27,WR,11,4,,,0,,,3.0,32.0,0,15.0,10.7,463
Arrelious Benn,JAX,28,WR,15,0,,,0,,,2.0,16.0,0,16.0,8.0,132
Ka'Deem Carey,CHI,24,RB,12,0,,,0,,,2.0,38.0,0,22.0,19.0,219
Mike Davis,SFO,23,RB,8,1,,,0,,,2.0,18.0,0,12.0,9.0,93
Lance Dunbar,DAL,26,RB,13,0,,,0,,,2.0,32.0,0,16.0,16.0,185
Jerome Felton,BUF,30,RB,15,4,,,0,,,2.0,18.0,0,11.0,9.0,88
Dion Lewis,NWE,26,RB,7,5,,,0,,,2.0,35.0,0,23.0,17.5,412
Cassius Marsh,SEA,24,DE,16,1,,,0,,,2.0,17.0,0,10.0,8.5,17
Byron Marshall,PHI,22,RB,3,0,,,0,,,2.0,36.0,0,23.0,18.0,110
Keshawn Martin,SFO,26,WR,1,0,,,0,,,2.0,37.0,0,20.0,18.5,37
Devin McCourty*,NWE,29,FS,16,16,,,0,,,2.0,9.0,0,9.0,4.5,12
David Morgan,MIN,23,TE,12,0,,,0,,,2.0,29.0,0,18.0,14.5,33
Raheem Mostert,2TM,24,RB,3,0,0.0,33.0,0,33.0,,2.0,35.0,0,26.0,17.5,74
JJ Nelson,ARI,24,WR,15,6,,,0,,,2.0,53.0,0,39.0,26.5,704
Nick O'Leary,BUF,24,RB,16,7,,,0,,,2.0,27.0,0,14.0,13.5,141
Aldrick Robinson,ATL,28,WR,16,1,,,0,,,2.0,27.0,0,16.0,13.5,350
Dwayne Washington,DET,22,RB,12,2,,,0,,,2.0,46.0,0,25.0,23.0,373
James White,NWE,24,RB,16,4,,,0,,,2.0,28.0,0,18.0,14.0,745
Matt Asiata,MIN,29,RB,16,6,,,0,,,1.0,11.0,0,11.0,11.0,676
Josh Bellamy,CHI,27,WR,16,2,,,0,,,1.0,15.0,0,15.0,15.0,334
Austin Blythe,IND,24,C,8,1,,,0,,,1.0,10.0,0,10.0,10.0,10
Nick Boyle,BAL,23,TE,6,0,,,0,,,1.0,0.0,0,0.0,0.0,44
Bashaud Breeland,WAS,24,LCB,14,14,,,0,,,1.0,18.0,0,18.0,18.0,50
Damiere Byrd,CAR,23,WR,1,0,,,0,,,1.0,31.0,0,31.0,31.0,47
Geremy Davis,SDG,24,WR,3,0,,,0,,,1.0,9.0,0,9.0,9.0,9
Ryan Davis,DAL,27,LB,9,0,,,0,,,1.0,0.0,0,0.0,0.0,0
Seth Devalve,CLE,23,TE,12,2,,,0,,,1.0,13.0,0,13.0,13.0,140
Patrick DiMarco,ATL,27,RB,16,8,,,0,,,1.0,14.0,0,14.0,14.0,66
Quincy Enunwa,NYJ,24,WR,16,13,,,0,,,1.0,54.0,0,54.0,54.0,923
Zach Ertz,PHI,26,TE,14,12,,,0,,,1.0,8.0,0,8.0,8.0,824
Gavin Escobar,DAL,25,TE,16,1,,,0,,,1.0,5.0,0,5.0,5.0,35
D.J. Foster,NWE,23,WR,3,0,,,0,,,1.0,30.0,0,30.0,30.0,56
Mike Gillislee,BUF,26,RB,15,1,,,0,,,1.0,19.0,0,19.0,19.0,646
MarQueis Gray,MIA,27,TE,16,7,,,0,,,1.0,11.0,0,11.0,11.0,185
Demetrius Harris,KAN,25,WR,16,11,,,0,,,1.0,19.0,0,19.0,19.0,169
DuJuan Harris,SFO,28,RB,10,1,,,0,,,1.0,18.0,0,18.0,18.0,271
Hunter Henry,SDG,22,TE,15,10,,,0,,,1.0,10.0,0,10.0,10.0,488
Mark Herzlich,NYG,29,LB,14,0,,,0,,,1.0,2.0,0,2.0,2.0,2
Julian Howsare,NYJ,24,LB,2,0,,,0,,,1.0,15.0,0,15.0,15.0,15
Charles James,2TM,26,DB,13,0,,,0,,,1.0,18.0,0,18.0,18.0,18
Charles Johnson,MIN,27,WR,16,7,,,0,,,1.0,16.0,0,16.0,16.0,250
Paul Lasike,CHI,26,RB,10,3,,,0,,,1.0,5.0,0,5.0,5.0,16
Darren McFadden,DAL,29,RB,3,1,,,0,,,1.0,30.0,0,30.0,30.0,134
J.D. McKissic,SEA,23,RB,1,0,,,0,,,1.0,22.0,0,22.0,22.0,40
Alfred Morris,DAL,28,RB,14,0,,,0,,,1.0,12.0,0,12.0,12.0,266
Quinton Patton,SFO,26,WR,14,14,,,0,,,1.0,11.0,0,11.0,11.0,419
Niles Paul,WAS,27,WR,8,1,,,0,,,1.0,14.0,0,14.0,14.0,41
Jay Prosch,HOU,24,RB,15,1,,,0,,,1.0,10.0,0,10.0,10.0,25
Chase Reynolds,LAR,29,RB,16,0,,,0,,,1.0,0.0,0,0.0,0.0,4
Denard Robinson,JAX,26,WR,13,1,,,0,,,1.0,13.0,0,13.0,13.0,179
Richard Rodgers,GNB,24,TE,16,6,,,0,,,1.0,0.0,0,0.0,0.0,271
Rashad Ross,WAS,26,WR,5,0,,,0,,,1.0,22.0,0,22.0,22.0,30
Cecil Shorts,TAM,29,WR,9,5,,,0,,,1.0,19.0,0,19.0,19.0,171
Chris Smith,JAX,24,DE,6,0,,,0,,,1.0,0.0,0,0.0,0.0,0
Rod Smith,DAL,24,RB,7,0,,,0,,,1.0,19.0,0,19.0,19.0,23
Torrey Smith,SFO,27,WR,12,12,,,0,,,1.0,13.0,0,13.0,13.0,280
Laquon Treadwell,MIN,21,WR,9,1,,,0,,,1.0,0.0,0,0.0,0.0,15
Paul Turner,PHI,23,WR,4,2,,,0,,,1.0,11.0,0,11.0,11.0,137
DeAndre Washington,OAK,23,RB,14,2,,,0,,,1.0,20.0,0,20.0,20.0,602
Kenny Wiggins,SDG,28,T,13,1,,,0,,,1.0,0.0,0,0.0,0.0,0
Brandon Williams,SEA,29,TE,16,1,,,0,,,1.0,12.0,0,12.0,12.0,48
Luke Willson,SEA,26,TE,11,6,,,0,,,1.0,0.0,0,0.0,0.0,129
Albert Wilson,KAN,24,WR,16,5,,,0,,,1.0,13.0,0,13.0,13.0,342
