Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Chike Okeafor,29,ARI,LDE,16,16,0,0,0,0,2,3,0,0,0,0,7.5,51,40,11,11,0,
Benji Olson,30,TEN,RG,16,16,0,0,0,0,,0,0,1,0,0,0.0,0,0,0,0,0,
Orlando Pace,30,STL,LT,16,16,0,0,0,0,,0,0,2,0,0,0.0,0,0,0,0,0,PB
Carson Palmer,26,CIN,QB,16,16,0,0,0,0,0,0,5,1,-2,0,0.0,0,0,0,0,0,"PB,AP MVP-5,AP OPoY-4"
Antwan Peek,26,HOU,ROLB,16,16,0,0,0,0,2,2,0,2,0,0,6.0,47,30,17,5,0,
Julius Peppers,25,CAR,LDE,16,16,0,0,0,0,7,2,0,1,10,0,10.5,50,38,12,13,0,PB
Mike Peterson,29,JAX,MLB,16,16,3,54,1,26,6,2,0,1,0,0,6.0,132,95,37,10,0,AP-2
Ryan Pickett,26,STL,LDT,16,16,0,0,0,0,3,0,0,0,0,0,2.0,65,47,18,14,0,
Jake Plummer,31,DEN,QB,16,16,0,0,0,0,0,0,4,1,-10,0,0.0,0,0,0,0,0,PB
Troy Polamalu,24,PIT,SS,16,16,2,42,0,36,8,1,0,2,78,1,3.0,92,74,18,7,0,"PB,AP-1,AP DPoY-3"
Marcus Pollard,33,DET,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,
Joey Porter,28,PIT,ROLB,16,16,2,9,0,9,4,4,0,1,0,0,10.5,57,39,18,8,0,"PB,AP-2"
Clinton Portis,24,WAS,RB,16,16,0,0,0,0,0,0,3,2,0,0,0.0,0,0,0,0,0,
Trevor Pryce,30,DEN,RDE,16,16,0,0,0,0,3,1,0,0,0,0,4.0,33,31,2,9,0,
Shelton Quarles,34,TAM,MLB,16,16,0,0,0,0,2,4,0,1,0,0,1.0,134,104,30,6,1,
Cory Redding,25,DET,LDE,16,16,0,0,0,0,4,1,0,1,0,0,1.0,33,26,7,6,0,
Kerry Rhodes,23,NYJ,FS,16,16,1,0,0,0,7,1,0,0,0,0,1.0,106,86,20,1,0,
Dunta Robinson,23,HOU,RCB/LCB,16,16,1,1,0,1,10,1,0,1,0,0,1.0,88,69,19,2,0,
Samari Rolle,29,BAL,RCB,16,16,1,11,0,11,11,2,0,0,0,0,0.0,41,39,2,1,0,
Mark Roman,28,GNB,SS,16,16,2,18,0,12,8,0,0,2,0,0,0.0,90,70,20,2,0,
Orpheus Roye,32,CLE,LDE,16,16,0,0,0,0,4,0,0,1,0,0,3.0,88,65,23,9,0,
Jon Runyan,32,PHI,RT,16,16,0,0,0,0,0,0,0,2,1,0,0.0,0,0,0,0,0,
