Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Harold Jackson,35,NWE,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
John James,32,ATL,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Steve Largent,27,SEA,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB
Roosevelt Leaks,28,BUF,FB,16,5,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Henry Marshall,27,KAN,WR,12,12,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Nick Mike-Mayer,31,BUF,K,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Tony Nathan,25,MIA,RB,13,11,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Bob Parsons,31,CHI,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Walter Payton,28,CHI,RB,16,16,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Tony Reed,26,DEN,RB,15,0,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Matt Robinson,26,BUF,QB,15,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,9,33.33,-3.00,-3.00,0,0,
Freddie Scott,29,DET,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Ron Springs,25,DAL,FB,16,13,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Jeff West,28,SEA,P,15,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
Kellen Winslow,24,SDG,TE,16,16,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-1,AP MVP-6,AP OPoY-8"
League Average,,,,,,,,,54.6,,,4.2,,4.3,,7.0,5.93,12.9,76.4,72.9,,,6.72,6.02,5.00,,,
